"Latitude","Longitude","UTC","Pollutant","AQI","Category","Location","ReportingAgency","StationID","FullStationID"
"39.7794","-105.00523","2021-10-16T00:00","SO2","0","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T00:00","CO","-999","0","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.785622","-104.988469","2021-10-16T00:00","NO2","30","1","Globeville","Colorado Department of Public Health and Environment","080310028","840080310028"
"39.785622","-104.988469","2021-10-16T00:00","PM2.5","15","1","Globeville","Colorado Department of Public Health and Environment","080310028","840080310028"
"39.751099","-104.987198","2021-10-16T00:00","OZONE","31","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T00:00","NO2","21","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T00:00","PM2.5","16","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T00:00","PM10","6","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T00:00","SO2","0","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T00:00","CO","-999","0","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.5689","-104.9572","2021-10-16T00:00","OZONE","36","1","Highland Reservoir - 8100 S. University Blvd.","Colorado Department of Public Health and Environment","080050002","840080050002"
"39.781083","-104.95665","2021-10-16T00:00","PM10","11","1","Denver Swansea Elementary School","Colorado Department of Public Health and Environment","080310023","840080310023"
"39.8392","-104.9489","2021-10-16T00:00","OZONE","33","1","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.8392","-104.9489","2021-10-16T00:00","PM10","22","1","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.8392","-104.9489","2021-10-16T00:00","NO2","6","1","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.8392","-104.9489","2021-10-16T00:00","SO2","0","1","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.8392","-104.9489","2021-10-16T00:00","CO","-999","0","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.7386","-104.9394","2021-10-16T00:00","PM2.5","14","1","Denver - NJH - 14th Ave. & Albion St.","Colorado Department of Public Health and Environment","080310013","840080310013"
"39.7386","-104.9394","2021-10-16T00:00","PM10","10","1","Denver - NJH - 14th Ave. & Albion St.","Colorado Department of Public Health and Environment","080310013","840080310013"
"39.8281","-104.93645","2021-10-16T00:00","PM10","15","1","Adams-Birch","Colorado Department of Public Health and Environment","840080010010","840080010010"
"39.8281","-104.93645","2021-10-16T00:00","PM2.5","15","1","Adams-Birch","Colorado Department of Public Health and Environment","840080010010","840080010010"
"38.853097","-104.901286","2021-10-16T00:00","OZONE","39","1","Manitou Springs","Colorado Department of Public Health and Environment","080410016","840080410016"
"38.830895","-104.839243","2021-10-16T00:00","SO2","1","1","Colorado Springs - Highway 24","Colorado Department of Public Health and Environment","080410015","840080410015"
"38.830895","-104.839243","2021-10-16T00:00","CO","-999","0","Colorado Springs - Highway 24","Colorado Department of Public Health and Environment","080410015","840080410015"
"38.848","-104.8286","2021-10-16T00:00","PM2.5","18","1","Colorado College","Colorado Department of Public Health and Environment","080410017","840080410017"
"38.9583","-104.8167","2021-10-16T00:00","OZONE","45","1","Colorado Springs - USAF Academy","Colorado Department of Public Health and Environment","080410013","840080410013"
"40.3861","-104.7367","2021-10-16T00:00","OZONE","37","1","Greeley - Weld Co. Tower - 3101 35th Ave.","Colorado Department of Public Health and Environment","081230009","840081230009"
"40.3861","-104.7367","2021-10-16T00:00","CO","-999","0","Greeley - Weld Co. Tower - 3101 35th Ave.","Colorado Department of Public Health and Environment","081230009","840081230009"
"40.18161","-104.72613","2021-10-16T00:00","OZONE","38","1","Platteville Atmospheric Observatory (PAO)","Colorado Department of Public Health and Environment","840081230013","840081230013"
"40.18161","-104.72613","2021-10-16T00:00","NO2","4","1","Platteville Atmospheric Observatory (PAO)","Colorado Department of Public Health and Environment","840081230013","840081230013"
"40.4147","-104.7061","2021-10-16T00:00","PM2.5","18","1","Greeley Hospital","Colorado Department of Public Health and Environment","081230006","840081230006"
"39.638542","-104.569061","2021-10-16T00:00","OZONE","41","1","Aurora East","Colorado Department of Public Health and Environment","080050006","840080050006"
"40.086941","-108.761002","2021-10-16T01:00","PM2.5","35","1","Rangely, CO","National Park Service","081030006","840081030006"
"40.086941","-108.761002","2021-10-16T01:00","OZONE","34","1","Rangely, CO","National Park Service","081030006","840081030006"
"40.086941","-108.761002","2021-10-16T01:00","NO2","1","1","Rangely, CO","National Park Service","081030006","840081030006"
"37.34997","-108.58737","2021-10-16T01:00","OZONE","32","1","Cortez Ozone","Colorado Department of Public Health and Environment","080830006","840080830006"
"39.063599","-108.561096","2021-10-16T01:00","PM2.5","16","1","Grand Junction - Powell Building","Colorado Department of Public Health and Environment","080770017","840080770017"
"37.1983","-108.4903","2021-10-16T01:00","OZONE","39","1","Mesa Verde NP","National Park Service","080830101","840080830101"
"39.1306","-108.3139","2021-10-16T01:00","OZONE","33","1","Palisade Ozone","Colorado Department of Public Health and Environment","080770020","840080770020"
"37.350185","-108.290779","2021-10-16T01:00","PM2.5","-999","0","MMFS10011","Forest Service","MMFS10011","840MMFS10011"
"37.10258","-107.870219","2021-10-16T01:00","NO2","39","1","Ute 3","Southern Ute Tribe","080677003","840080677003"
"37.10258","-107.870219","2021-10-16T01:00","OZONE","34","1","Ute 3","Southern Ute Tribe","080677003","840080677003"
"39.541801","-107.784103","2021-10-16T01:00","OZONE","24","1","Rifle Ozone","Colorado Department of Public Health and Environment","080450012","840080450012"
"38.8763","-107.6022","2021-10-16T01:00","OZONE","27","1","Paonia","Bureau of Land Management - Colorado","840080290007","840080290007"
"38.8763","-107.6022","2021-10-16T01:00","PM10","3","1","Paonia","Bureau of Land Management - Colorado","840080290007","840080290007"
"38.8763","-107.6022","2021-10-16T01:00","NO2","2","1","Paonia","Bureau of Land Management - Colorado","840080290007","840080290007"
"37.205862","-107.254118","2021-10-16T01:00","OZONE","31","1","7004","Southern Ute Tribe","080077004","840080077004"
"37.205862","-107.254118","2021-10-16T01:00","NO2","5","1","7004","Southern Ute Tribe","080077004","840080077004"
"37.205862","-107.254118","2021-10-16T01:00","SO2","0","1","7004","Southern Ute Tribe","080077004","840080077004"
"38.9564","-106.9858","2021-10-16T01:00","OZONE","40","1","Gothic","EPA Office of Atmospheric Programs","080519991","840080519991"
"39.196271","-106.8364","2021-10-16T01:00","OZONE","33","1","Aspen Pumphouse","Colorado Department of Public Health and Environment","840080970007","840080970007"
"39.192966","-106.823183","2021-10-16T01:00","PM2.5","20","1","Yellow Brick Building","Colorado Department of Public Health and Environment","080970008","840080970008"
"40.077045","-105.929527","2021-10-16T01:00","PM2.5","-999","0","Unit0215","Forest Service","MMFS10215","840MMFS10215"
"40.2778","-105.5453","2021-10-16T01:00","OZONE","46","1","Rocky Mountain NP","National Park Service","080690007","840080690007"
"39.792512","-105.491309","2021-10-16T01:00","OZONE","42","1","Black Hawk","Colorado Department of Public Health and Environment","840080470003","840080470003"
"39.620408","-105.33872","2021-10-16T01:00","OZONE","37","1","Evergreen","Colorado Department of Public Health and Environment","840080590014","840080590014"
"40.0128","-105.2667","2021-10-16T01:00","PM2.5","7","1","Boulder - CU - 2102 Athens St.","Colorado Department of Public Health and Environment","080131001","840080131001"
"40.070007","-105.220232","2021-10-16T01:00","OZONE","40","1","Boulder Reservoir","Colorado Department of Public Health and Environment","080130014","840080130014"
"39.9128","-105.1883","2021-10-16T01:00","OZONE","41","1","Rocky Flats - N - 16600 W. Colo. Hwy. 128","Colorado Department of Public Health and Environment","080590006","840080590006"
"39.7419","-105.1786","2021-10-16T01:00","OZONE","41","1","Golden - NREL - 2054 Quaker St.","Colorado Department of Public Health and Environment","080590011","840080590011"
"40.59254","-105.1411","2021-10-16T01:00","OZONE","37","1","Fort Collins - West - Laporte Ave. & Overland Tr.","Colorado Department of Public Health and Environment","080690011","840080690011"
"40.164585","-105.100861","2021-10-16T01:00","PM2.5","28","1","Longmont","Colorado Department of Public Health and Environment","080130003","840080130003"
"40.571259","-105.079765","2021-10-16T01:00","PM2.5","22","1","Ft. Collins - CSU Facilities","Colorado Department of Public Health and Environment","080690009","840080690009"
"40.571259","-105.079765","2021-10-16T01:00","PM10","12","1","Ft. Collins - CSU Facilities","Colorado Department of Public Health and Environment","080690009","840080690009"
"40.5764","-105.0794","2021-10-16T01:00","OZONE","30","1","Fort Collins - CSU - 708 S. Mason St.","Colorado Department of Public Health and Environment","080691004","840080691004"
"40.5764","-105.0794","2021-10-16T01:00","CO","-999","0","Fort Collins - CSU - 708 S. Mason St.","Colorado Department of Public Health and Environment","080691004","840080691004"
"39.5339","-105.07","2021-10-16T01:00","OZONE","32","1","Chatfield Park - 11500 N. Roxborough Park Rd.","Colorado Department of Public Health and Environment","080350004","840080350004"
"39.5339","-105.07","2021-10-16T01:00","PM2.5","12","1","Chatfield Park - 11500 N. Roxborough Park Rd.","Colorado Department of Public Health and Environment","080350004","840080350004"
"39.732144","-105.015313","2021-10-16T01:00","NO2","30","1","I25 Denver","Colorado Department of Public Health and Environment","080310027","840080310027"
"39.732144","-105.015313","2021-10-16T01:00","PM2.5","15","1","I25 Denver","Colorado Department of Public Health and Environment","080310027","840080310027"
"39.732144","-105.015313","2021-10-16T01:00","CO","-999","0","I25 Denver","Colorado Department of Public Health and Environment","080310027","840080310027"
"39.7794","-105.00523","2021-10-16T01:00","OZONE","31","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T01:00","NO2","15","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T01:00","PM2.5","14","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T01:00","PM10","10","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T01:00","SO2","0","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T01:00","CO","-999","0","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.785622","-104.988469","2021-10-16T01:00","NO2","37","1","Globeville","Colorado Department of Public Health and Environment","080310028","840080310028"
"39.785622","-104.988469","2021-10-16T01:00","PM2.5","17","1","Globeville","Colorado Department of Public Health and Environment","080310028","840080310028"
"39.751099","-104.987198","2021-10-16T01:00","OZONE","32","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T01:00","PM2.5","20","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T01:00","NO2","19","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T01:00","PM10","7","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T01:00","SO2","0","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.751099","-104.987198","2021-10-16T01:00","CO","-999","0","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
"39.5689","-104.9572","2021-10-16T01:00","OZONE","33","1","Highland Reservoir - 8100 S. University Blvd.","Colorado Department of Public Health and Environment","080050002","840080050002"
"39.781083","-104.95665","2021-10-16T01:00","PM10","10","1","Denver Swansea Elementary School","Colorado Department of Public Health and Environment","080310023","840080310023"
"39.8392","-104.9489","2021-10-16T01:00","OZONE","30","1","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.8392","-104.9489","2021-10-16T01:00","PM10","21","1","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.8392","-104.9489","2021-10-16T01:00","NO2","9","1","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.8392","-104.9489","2021-10-16T01:00","SO2","0","1","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.8392","-104.9489","2021-10-16T01:00","CO","-999","0","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment","080013001","840080013001"
"39.7386","-104.9394","2021-10-16T01:00","PM2.5","17","1","Denver - NJH - 14th Ave. & Albion St.","Colorado Department of Public Health and Environment","080310013","840080310013"
"39.7386","-104.9394","2021-10-16T01:00","PM10","12","1","Denver - NJH - 14th Ave. & Albion St.","Colorado Department of Public Health and Environment","080310013","840080310013"
"39.8281","-104.93645","2021-10-16T01:00","PM2.5","17","1","Adams-Birch","Colorado Department of Public Health and Environment","840080010010","840080010010"
"39.8281","-104.93645","2021-10-16T01:00","PM10","16","1","Adams-Birch","Colorado Department of Public Health and Environment","840080010010","840080010010"
"38.853097","-104.901286","2021-10-16T01:00","OZONE","39","1","Manitou Springs","Colorado Department of Public Health and Environment","080410016","840080410016"
"38.830895","-104.839243","2021-10-16T01:00","SO2","1","1","Colorado Springs - Highway 24","Colorado Department of Public Health and Environment","080410015","840080410015"
"38.830895","-104.839243","2021-10-16T01:00","CO","-999","0","Colorado Springs - Highway 24","Colorado Department of Public Health and Environment","080410015","840080410015"
"38.848","-104.8286","2021-10-16T01:00","PM2.5","20","1","Colorado College","Colorado Department of Public Health and Environment","080410017","840080410017"
"38.9583","-104.8167","2021-10-16T01:00","OZONE","41","1","Colorado Springs - USAF Academy","Colorado Department of Public Health and Environment","080410013","840080410013"
"40.3861","-104.7367","2021-10-16T01:00","OZONE","34","1","Greeley - Weld Co. Tower - 3101 35th Ave.","Colorado Department of Public Health and Environment","081230009","840081230009"
"40.3861","-104.7367","2021-10-16T01:00","CO","-999","0","Greeley - Weld Co. Tower - 3101 35th Ave.","Colorado Department of Public Health and Environment","081230009","840081230009"
"40.18161","-104.72613","2021-10-16T01:00","OZONE","36","1","Platteville Atmospheric Observatory (PAO)","Colorado Department of Public Health and Environment","840081230013","840081230013"
"40.18161","-104.72613","2021-10-16T01:00","NO2","6","1","Platteville Atmospheric Observatory (PAO)","Colorado Department of Public Health and Environment","840081230013","840081230013"
"40.4147","-104.7061","2021-10-16T01:00","PM2.5","30","1","Greeley Hospital","Colorado Department of Public Health and Environment","081230006","840081230006"
"39.638542","-104.569061","2021-10-16T01:00","OZONE","39","1","Aurora East","Colorado Department of Public Health and Environment","080050006","840080050006"
"40.086941","-108.761002","2021-10-16T02:00","PM2.5","36","1","Rangely, CO","National Park Service","081030006","840081030006"
"40.086941","-108.761002","2021-10-16T02:00","OZONE","33","1","Rangely, CO","National Park Service","081030006","840081030006"
"40.086941","-108.761002","2021-10-16T02:00","NO2","3","1","Rangely, CO","National Park Service","081030006","840081030006"
"37.34997","-108.58737","2021-10-16T02:00","OZONE","31","1","Cortez Ozone","Colorado Department of Public Health and Environment","080830006","840080830006"
"39.063599","-108.561096","2021-10-16T02:00","PM2.5","17","1","Grand Junction - Powell Building","Colorado Department of Public Health and Environment","080770017","840080770017"
"37.1983","-108.4903","2021-10-16T02:00","OZONE","37","1","Mesa Verde NP","National Park Service","080830101","840080830101"
"39.1306","-108.3139","2021-10-16T02:00","OZONE","33","1","Palisade Ozone","Colorado Department of Public Health and Environment","080770020","840080770020"
"37.350185","-108.290779","2021-10-16T02:00","PM2.5","-999","0","MMFS10011","Forest Service","MMFS10011","840MMFS10011"
"37.10258","-107.870219","2021-10-16T02:00","NO2","40","1","Ute 3","Southern Ute Tribe","080677003","840080677003"
"37.10258","-107.870219","2021-10-16T02:00","OZONE","30","1","Ute 3","Southern Ute Tribe","080677003","840080677003"
"39.541801","-107.784103","2021-10-16T02:00","OZONE","22","1","Rifle Ozone","Colorado Department of Public Health and Environment","080450012","840080450012"
"38.8763","-107.6022","2021-10-16T02:00","OZONE","24","1","Paonia","Bureau of Land Management - Colorado","840080290007","840080290007"
"38.8763","-107.6022","2021-10-16T02:00","PM2.5","14","1","Paonia","Bureau of Land Management - Colorado","840080290007","840080290007"
"38.8763","-107.6022","2021-10-16T02:00","NO2","1","1","Paonia","Bureau of Land Management - Colorado","840080290007","840080290007"
"38.8763","-107.6022","2021-10-16T02:00","PM10","1","1","Paonia","Bureau of Land Management - Colorado","840080290007","840080290007"
"37.205862","-107.254118","2021-10-16T02:00","OZONE","28","1","7004","Southern Ute Tribe","080077004","840080077004"
"37.205862","-107.254118","2021-10-16T02:00","NO2","5","1","7004","Southern Ute Tribe","080077004","840080077004"
"37.205862","-107.254118","2021-10-16T02:00","SO2","0","1","7004","Southern Ute Tribe","080077004","840080077004"
"38.9564","-106.9858","2021-10-16T02:00","OZONE","40","1","Gothic","EPA Office of Atmospheric Programs","080519991","840080519991"
"39.196271","-106.8364","2021-10-16T02:00","OZONE","33","1","Aspen Pumphouse","Colorado Department of Public Health and Environment","840080970007","840080970007"
"39.192966","-106.823183","2021-10-16T02:00","PM2.5","24","1","Yellow Brick Building","Colorado Department of Public Health and Environment","080970008","840080970008"
"40.077045","-105.929527","2021-10-16T02:00","PM2.5","-999","0","Unit0215","Forest Service","MMFS10215","840MMFS10215"
"40.2778","-105.5453","2021-10-16T02:00","OZONE","45","1","Rocky Mountain NP","National Park Service","080690007","840080690007"
"39.792512","-105.491309","2021-10-16T02:00","OZONE","42","1","Black Hawk","Colorado Department of Public Health and Environment","840080470003","840080470003"
"39.620408","-105.33872","2021-10-16T02:00","OZONE","32","1","Evergreen","Colorado Department of Public Health and Environment","840080590014","840080590014"
"40.0128","-105.2667","2021-10-16T02:00","PM2.5","7","1","Boulder - CU - 2102 Athens St.","Colorado Department of Public Health and Environment","080131001","840080131001"
"40.070007","-105.220232","2021-10-16T02:00","OZONE","37","1","Boulder Reservoir","Colorado Department of Public Health and Environment","080130014","840080130014"
"39.9128","-105.1883","2021-10-16T02:00","OZONE","40","1","Rocky Flats - N - 16600 W. Colo. Hwy. 128","Colorado Department of Public Health and Environment","080590006","840080590006"
"39.7419","-105.1786","2021-10-16T02:00","OZONE","42","1","Golden - NREL - 2054 Quaker St.","Colorado Department of Public Health and Environment","080590011","840080590011"
"40.59254","-105.1411","2021-10-16T02:00","OZONE","36","1","Fort Collins - West - Laporte Ave. & Overland Tr.","Colorado Department of Public Health and Environment","080690011","840080690011"
"40.164585","-105.100861","2021-10-16T02:00","PM2.5","40","1","Longmont","Colorado Department of Public Health and Environment","080130003","840080130003"
"40.571259","-105.079765","2021-10-16T02:00","PM2.5","30","1","Ft. Collins - CSU Facilities","Colorado Department of Public Health and Environment","080690009","840080690009"
"40.571259","-105.079765","2021-10-16T02:00","PM10","17","1","Ft. Collins - CSU Facilities","Colorado Department of Public Health and Environment","080690009","840080690009"
"40.5764","-105.0794","2021-10-16T02:00","OZONE","17","1","Fort Collins - CSU - 708 S. Mason St.","Colorado Department of Public Health and Environment","080691004","840080691004"
"40.5764","-105.0794","2021-10-16T02:00","CO","-999","0","Fort Collins - CSU - 708 S. Mason St.","Colorado Department of Public Health and Environment","080691004","840080691004"
"39.5339","-105.07","2021-10-16T02:00","OZONE","32","1","Chatfield Park - 11500 N. Roxborough Park Rd.","Colorado Department of Public Health and Environment","080350004","840080350004"
"39.5339","-105.07","2021-10-16T02:00","PM2.5","14","1","Chatfield Park - 11500 N. Roxborough Park Rd.","Colorado Department of Public Health and Environment","080350004","840080350004"
"39.732144","-105.015313","2021-10-16T02:00","NO2","33","1","I25 Denver","Colorado Department of Public Health and Environment","080310027","840080310027"
"39.732144","-105.015313","2021-10-16T02:00","PM2.5","17","1","I25 Denver","Colorado Department of Public Health and Environment","080310027","840080310027"
"39.732144","-105.015313","2021-10-16T02:00","CO","-999","0","I25 Denver","Colorado Department of Public Health and Environment","080310027","840080310027"
"39.7794","-105.00523","2021-10-16T02:00","OZONE","25","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T02:00","NO2","23","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T02:00","PM2.5","20","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T02:00","PM10","12","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T02:00","SO2","0","1","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.7794","-105.00523","2021-10-16T02:00","CO","-999","0","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment","080310026","840080310026"
"39.785622","-104.988469","2021-10-16T02:00","NO2","46","1","Globeville","Colorado Department of Public Health and Environment","080310028","840080310028"
"39.785622","-104.988469","2021-10-16T02:00","PM2.5","23","1","Globeville","Colorado Department of Public Health and Environment","080310028","840080310028"
"39.751099","-104.987198","2021-10-16T02:00","OZONE","27","1","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment","080310002","840080310002"
